F, CR, fitness
0.05, 0.05, 32.61402422565733
1.025, 0.525, 0.12531172538902066
1.5125, 0.2875, 1.2189335975733828
0.5375, 0.7625, 2.0997763229572744E-85
0.78125, 0.40624999999999994, 5.619883057726335E-28
1.75625, 0.88125, 1161.7376267972093
1.26875, 0.16875, 5.816254736981734E-14
0.29375, 0.64375, 4.342948329897551
0.41562499999999997, 0.346875, 7.118534578085677E-135
1.390625, 0.821875, 1186.5761354162048
1.878125, 0.109375, 1.4392585497311064E-07
0.9031250000000001, 0.584375, 5.831254951429118E-05
0.659375, 0.22812499999999997, 1.0725345868420552E-65
1.634375, 0.703125, 1195.0496735734243
1.146875, 0.46562499999999996, 2.0898979273820713
0.171875, 0.940625, 449.0885440160925
0.23281249999999998, 0.4953125, 6.5522847727965985
1.2078125, 0.9703125, 1151.9189143996414
1.6953125, 0.2578125, 4.1422142461794556
0.7203125, 0.7328125, 4.917369512673488E-21
0.9640625, 0.13906249999999998, 2.6166870614069337E-34
1.9390625, 0.6140625000000001, 1180.825013158804
1.4515625, 0.37656249999999997, 77.19326317761949
0.4765625, 0.8515625, 0.18694956025523932
0.3546875, 0.1984375, 1.2752702410156365E-137
1.3296875, 0.6734375, 1176.415657654596
1.8171875, 0.4359375, 1110.2173228184981
0.8421875, 0.9109375, 2.1684154316257413E-12
0.5984375000000001, 0.31718749999999996, 1.8519360370863814E-74
1.5734375, 0.7921875, 1184.9686776753515
1.0859375, 0.0796875, 1.0171274391928182E-33
0.1109375, 0.5546875, 85.80053530708534
0.14140625, 0.30234374999999997, 12.813157198595063
1.11640625, 0.77734375, 916.8554100846876
1.60390625, 0.06484375, 1.621473877213612E-18
0.62890625, 0.53984375, 3.905106199853678E-50
0.87265625, 0.18359375, 1.1363845224869505E-37
1.84765625, 0.65859375, 1168.5468104140211
1.36015625, 0.42109375, 111.72882100112453
0.38515625, 0.89609375, 36.618114764507204
0.50703125, 0.12421875, 3.415123950326699E-93
1.48203125, 0.59921875, 1177.0684322840973
1.96953125, 0.36171875, 969.0547980846407
0.99453125, 0.83671875, 86.31291359207813
0.7507812500000001, 0.48046874999999994, 4.3513587929048675E-27
1.72578125, 0.95546875, 1184.8004304865997
1.23828125, 0.24296875, 2.72183128543881E-08
0.26328125, 0.71796875, 23.2912063677286
0.20234375, 0.27265625, 1.353265122366124
1.17734375, 0.74765625, 1068.469872263716
1.66484375, 0.51015625, 1158.7421262219113
0.68984375, 0.98515625, 1.1156086767921108E-24
0.93359375, 0.39140624999999996, 1.0903403054491643E-12
1.90859375, 0.86640625, 1201.2411974494655
1.42109375, 0.15390625, 6.232895528019259E-11
0.44609374999999996, 0.62890625, 7.981907454444421E-128
0.32421875, 0.45078124999999997, 0.00019134258937973065
1.29921875, 0.92578125, 1147.2172665720184
1.78671875, 0.21328124999999998, 0.3989883755113585
0.81171875, 0.6882812500000001, 7.187656829622832E-09
0.56796875, 0.09453125, 2.2184532636142234E-80
1.54296875, 0.56953125, 1148.6066306628684
1.05546875, 0.33203125, 2.5174972086114216E-09
0.08046875, 0.80703125, 336.9459340387606
0.095703125, 0.42851562499999996, 57.12439647282067
1.070703125, 0.903515625, 831.7278171173422
1.558203125, 0.19101562500000002, 6.722916899127342E-05
